Index,Ticker,Name,Currency,EventDate,Dividend,Priced
NASDAQ-100,ADP,Automatic Data Processing,USD,2024-09-13,1.4,100
NASDAQ-100,GILD,Gilead Sciences,USD,2024-09-13,0.77,100
NASDAQ-100,VRSK,Verisk Analytics,USD,2024-09-13,0.39,100
NASDAQ-100,NVDA,Nvidia,USD,2024-09-12,0.01,100
NASDAQ-100,NXPI,NXP Semiconductors,USD,2024-09-12,1.014,100
NASDAQ-100,ROST,Ross Stores,USD,2024-09-10,0.368,100
NASDAQ-100,GOOG,Alphabet Inc. (Class C),USD,2024-09-09,0.2,100
NASDAQ-100,GOOGL,Alphabet Inc. (Class A),USD,2024-09-09,0.2,100
NASDAQ-100,PEP,PepsiCo,USD,2024-09-06,1.355,100
NASDAQ-100,QCOM,Qualcomm,USD,2024-09-05,0.85,100
NASDAQ-100,LIN,Linde plc,USD,2024-09-04,1.39,100
NASDAQ-100,ODFL,Old Dominion Freight Line,USD,2024-09-04,0.26,100
NASDAQ-100,ADI,Analog Devices,USD,2024-09-03,0.92,100
NASDAQ-100,CSX,CSX Corporation,USD,2024-08-30,0.12,100
NASDAQ-100,KHC,Kraft Heinz,USD,2024-08-30,0.4,100
NASDAQ-100,TMUS,T-Mobile US,USD,2024-08-30,0.65,100
NASDAQ-100,CDW,CDW Corporation,USD,2024-08-26,0.62,100
NASDAQ-100,AMAT,Applied Materials,USD,2024-08-22,0.4,100
NASDAQ-100,MCHP,Microchip Technology,USD,2024-08-22,0.454,100
NASDAQ-100,CTSH,Cognizant,USD,2024-08-20,0.3,100
NASDAQ-100,HON,Honeywell,USD,2024-08-16,1.08,100
NASDAQ-100,MAR,Marriott International,USD,2024-08-16,0.63,100
NASDAQ-100,SBUX,Starbucks,USD,2024-08-16,0.57,100
NASDAQ-100,CTAS,Cintas,USD,2024-08-15,0.39,100
NASDAQ-100,FANG,Diamondback Energy,USD,2024-08-15,2.34,100
NASDAQ-100,KLAC,KLA Corporation,USD,2024-08-15,1.45,100
NASDAQ-100,MSFT,Microsoft,USD,2024-08-15,0.75,100
NASDAQ-100,PCAR,Paccar,USD,2024-08-15,0.3,100
NASDAQ-100,TRI,Thomson Reuters,USD,2024-08-15,0.54,100
NASDAQ-100,AAPL,Apple Inc.,USD,2024-08-12,0.25,100
NASDAQ-100,CEG,Constellation Energy,USD,2024-08-12,0.353,100
NASDAQ-100,EXC,Exelon,USD,2024-08-12,0.38,100
NASDAQ-100,AEP,American Electric Power,USD,2024-08-09,0.88,100
NASDAQ-100,PAYX,Paychex,USD,2024-08-08,0.98,100
NASDAQ-100,INTC,Intel,USD,2024-08-07,0.125,100
NASDAQ-100,BKR,Baker Hughes,USD,2024-08-06,0.21,100
